id,text,T1 Target,T1 Argument,T1 Harmful,T2 Target,T2 Argument,T2 Harmful,T3 Target,T3 Argument,T3 Harmful,T4 Target,T4 Argument,T4 Harmful,T5 Target,T5 Argument,T5 Harmful,T6 Target,T6 Argument,T6 Harmful,,,
1188473696857591811,@USER Lol @ these losers in the replies talking about impeachment,losers,losers,YES,,,,,,,,,,,,,,,,,,
1159245835994984448,I drew piplup and it’s whole evolutionary line. I was watching some shit on penguins earlier and got inspired 🐧,NULL,some shit,NO,,,,,,,,,,,,,,,,,,
1186795564173844488,"@USER First off who the hell holding like B, C or E? Serial killers lmao",@USER,who the hell,NO,@USER,Serial killers,NO,,,,,,,,,,,,,,,
1156885424369012736,@USER @USER @USER Lmao Im happy they vaulted all the mobility shit. Now I won’t get 3rd partied every ti,NULL,mobility shit,NO,,,,,,,,,,,,,,,,,,
1158176112268255232,"@USER @USER Literally read the fucking tweet you’re replying to, Linda. Tom is discussing the Dayton shooters leftist agend",@USER,read the fucking tweet,YES,Tom,Dayton shooters leftist agenda,YES,,,,,,,,,,,,,,,
1187144383369486338,@USER Whites vote for Trump because people like Michael Moore are Bat$%!t crazy and spew total nonsense.,Whites,Bat$%!t crazy,YES,Michael Moore,Bat$%!t crazy,YES,Michael Moore,spew total nonsense,YES,,,,,,,,,,,,
1186015072130387971,My mouth so dangerous. I do a nigga the worst way when I’m not fw them no more✌�,nigga,nigga,YES,nigga,worst way,YES,,,,,,,,,,,,,,,
1186029944155049985,@USER people walk all over the floor and dont give a shit! why do you think there are so many earthquakes Smh,people,dont give a shit,YES,,,,,,,,,,,,,,,,,,
1161354709636132865,men who aren’t sex workers but support sex workers and tip and buy content and generally just support the movement radiate big dick ener,men,radiate big dick energy,NO,,,,,,,,,,,,,,,,,,
1159629031874203651,@USER the hate these women are getting for being included in 2k is disgusting right now smh,@USER,hate these women are getting,YES,@USER,disgusting,YES,,,,,,,,,,,,,,,
1186169656698126336,we lov proof of a citizenship married poppin up bc people dont think to tweet that shit on a burner account,NULL,that shit,YES,,,,,,,,,,,,,,,,,,
1186459080082116608,People just come on this app and say anything these days.... Yu Yu Hakusho dub sucks lmao,People,say anything,NO,People,Yu Yu Hakusho dub sucks lmao,NO,,,,,,,,,,,,,,,
1160652047659589633,"@USER @USER These liberal ""I hate white people"" losers tend to worship Big Pharma, which is run by white people.",These liberal,"""I hate white people"" losers",YES,,,,,,,,,,,,,,,,,,
1155958147736981504,@USER Ran out of ignorant racist things to tweet Norm?,@USER,ignorant racist things to tweet,YES,,,,,,,,,,,,,,,,,,
1161485807548604423,Some of y’all really wack as hell and it really sho,y'all,really wack as hell,YES,,,,,,,,,,,,,,,,,,
1186427980236709889,@USER Imma wear my uggs until they turn inside out the hell!,@USER,hell,NO,,,,,,,,,,,,,,,,,,
1188013954586464257,"Maybe if I start drinking, I’ll start seeing points on the board for the AB’s. Fuck sakes �",NULL,Fuck sakes 🤦�,NO,,,,,,,,,,,,,,,,,,
1162425047073611778,Fuck no . Where was Luke Skywalker when Ricky got shot on boyz n da hood .. ??Black folks.. have y’all seen Star War,NULL,Fuck no.,NO,Black folks..,Black folks..,YES,,,,,,,,,,,,,,,
1156055220918595585,Aa because they said that when they invented it. Allyuh doh easy.Nipple piercing are girl women with small boobs not for them big ass cement bags y’all carrying 🤦🏾‍�,girl women,small boobs,YES,girl women,big ass cement bags,YES,,,,,,,,,,,,,,,
1156712598227816455,How are there still so many liberals walking around the streets if Trump is such a fascist?,Trump,is such a fascist?,YES,,,,,,,,,,,,,,,,,,
1158692197228785665,@USER @USER @USER Get Barack Obama's name out of your racist white supremacist mouth,@USER,racist white supremacist,YES,,,,,,,,,,,,,,,,,,
1162150354550763520,"yeah i be with shooters, but nigga i'll shoot ya too�",nigga,nigga,YES,nigga,shoot ya too �,YES,,,,,,,,,,,,,,,
1157437584991313921,"it sucks theres no like country free land left, wish i could go somewhere and make a gay communist space commune",NULL,gay communist space commune,NO,,,,,,,,,,,,,,,,,,
1159195978039201793,@USER People are weird cos rappers been talking bout fucking loads of different girls and that was fine,People,weird,YES,rappers,fucking loads of different girls,YES,,,,,,,,,,,,,,,
1162524283047948288,non loona believers are nothing but sick criminals who should be given life with no way of parole tbh,non loona believers,sick criminals,YES,non loona believers,should be given life with no way of parole,YES,,,,,,,,,,,,,,,
1156073000342630400,i’m not arguing with felons or mfs with warrant(s) out for they arrest. y’all ain’t got shit to lose �,felons or mfs,mfs,YES,felons or mfs,shit to lose,YES,,,,,,,,,,,,,,,
1159340712313479168,@USER That’s because most white people that says 💩like this is hypocriti,white people,says �,YES,white people,hypocritical,YES,,,,,,,,,,,,,,,
1160311113529081858,@USER most of people hate the song Pete Davidson because it was about Pete but like get over it and accept it's so fucking good,NULL,hate ,NO,NULL,so fucking good,NO,,,,,,,,,,,,,,,
1187638878955589632,"@USER Well said Nadine, it is absolutely disgusting! And they wonder why the public are furious?🤷🏻‍♂️ they have s",Nadine,absolutely disgusting,YES,they,furious,YES,they,have some cheek,YES,,,,,,,,,,,,
1160413811716894720,looking at ao3 just for fun and found out people actually have written aoi/tokiomi shit like. imagine wasting ur life on that,NULL,shit like,YES,NULL,wasting ur life,YES,,,,,,,,,,,,,,,
1186849957329944581,I’m honestly scared to bring a child into this world mfs are sick #RIPcupca,mfs,mfs,YES,mfs,are sick,YES,,,,,,,,,,,,,,,
1160558779668320259,fellas is it gay to kill Jeffery Epstein? after all you're getting off a bunch of dudes,fellas,is it gay to kill,YES,fellas,getting off a bunch of dudes,YES,,,,,,,,,,,,,,,
1185888768211017729,@USER These attacks are more and more shameless. The Democratic Party is a complete trash bin. Smh.,NULL,shameless,YES,The Democratic Party,complete trash bin,YES,,,,,,,,,,,,,,,
1161232325411135488,Omg when I say I hate white people the laid ease are excluded It's the disgusting males that don't deserve rights,white people,I hate,YES,males,disgusting,YES,males,don't deserve rights,YES,,,,,,,,,,,,
1156416826022060033,anyone else ever just wanna throw there phone in the river cus they are sick of it,NULL,sick of it,NO,,,,,,,,,,,,,,,,,,
1160359491260620805,"@USER If they can't make it, who the hell can, dude",@USER,who the hell can,YES,,,,,,,,,,,,,,,,,,
1159628295014682624,WEAK white men dream of being smothered by the perfect ebony ass. I can’t wait to have my first face sitting session �,WEAK white men,WEAK white men,YES,WEAK white men,smothered by the perfect ebony ass,YES,WEAK white men,first face sitting session 🔥,YES,,,,,,,,,,,,
1160035398623481856,everytime i decide i wanna be nice and make more girl friends i get reminded that girls are mean as fuck 😔 i hate y�,girls,mean as fuck,YES,girls,i hate,YES,,,,,,,,,,,,,,,
1158013884676149249,"@USER Do us all a huge favor and stick your head in a guillotine, please. Then promptly go burn in hell.",@USER,stick your head in a guillotine,YES,@USER,burn in hell,YES,,,,,,,,,,,,,,,
1158149079957987334,@USER All you senators suck as human beings you are not protecting the citizens but playing politics,senators,suck as human beings,YES,senators,not protecting the citizens,YES,,,,,,,,,,,,,,,
1157654480604868608,@USER a riot mmo would be cool as shit tbh i'm kinda surprised they didn't go that route. w blizzard having wow and all,NULL,cool as shit,NO,,,,,,,,,,,,,,,,,,
1161129200314671106,But niggas always wanna say they wanna be friends 😭😭😭😭I hate when girls try to check up on you while their in a relationship. Like do you wanna cheat cause i don’t wanna have ,niggas,niggas,YES,girls,I hate,YES,,,,,,,,,,,,,,,
1160732179535675392,Why tf are ugly girls so damn loyal while the good looking ones have no aren't 🙄Why tf are ugly guys so damn funny while the good looking ones have no personality ,ugly girls,ugly girls,YES,good looking ones,aren't,YES,ugly guys,tf ugly guys,YES,good looking ones,no personality,YES,,,,,,,,,
1161387063058620416,"Asu 23 ain’t do shit to y’all , i thought we was jus bullshittin .But y’all real life hating on these kid",y'all,ain't do shit,YES,y'all,real life hating,YES,,,,,,,,,,,,,,,
1161270623554953217,@USER I’m tryna finesse these niggas teach me your wa,niggas,niggas,YES,niggas,finesse these niggas,YES,,,,,,,,,,,,,,,
1155644004731670534,can y’all pls stop claiming niggas who deny you when asked about? bc i’m sick of hearing them lie 😩�,y'all,niggas,YES,niggas,lie,YES,,,,,,,,,,,,,,,
1187374718422278144,@USER Lmao u more so wanna defend yourself than hear niggas out that’s ya probl,@USER,hear niggas out,YES,,,,,,,,,,,,,,,,,,
1161043061566259200,"New girls chill, I still feel bad for her cuz of all the shit she's gonna deal with but once I'm gone that ain't my problem 💁�",New girls,all the shit,YES,,,,,,,,,,,,,,,,,,
1161660841286144012,I hate when y’all do this. Name names and stop playing reindeer games.Yall still casually follow that nigga that was beating his ,y'all,hate,YES,Yall,nigga,YES,nigga,beating his bm,YES,,,,,,,,,,,,
1188386228338597888,honestly? I can handle kpop stans dragging armys but just stay the fuck away from bts they’ve done lit rally nothing to y�,NULL,stay the fuck away,YES,,,,,,,,,,,,,,,,,,
1188474338418331649,"@USER Most ignorant and delusional post and replies I've seen all day,scary",@USER,ignorant,YES,@USER,delusional,YES,,,,,,,,,,,,,,,
1188172718086209540,these niggas get a “appreciate that”🤪I “awwww thank you” niggas to ,niggas,niggas,YES,niggas,to death,YES,,,,,,,,,,,,,,,
1187123675868422145,@USER Ain’t no way this nigga telling the truth,@USER,nigga,YES,nigga,telling the truth �,YES,,,,,,,,,,,,,,,
1161634865223221248,@USER Who the Hell r u to say all this... Bloody Dual National...,@USER,who the Hell r u,YES,@USER,Bloody Dual National...,YES,,,,,,,,,,,,,,,
1159197872128176128,how the fuck are y’all gonna promote this so called super group all over the place when exo barely even have a world tou,y'all,how the fuck,YES,,,,,,,,,,,,,,,,,,
1159197354064564224,@USER Not a racist and never proven other than leftist rhetoric which is a complete sham on the American people. STFU,@USER,Not a racist ,YES,@USER,leftist rhetoric,YES,@USER,sham,YES,@USER,STFU,YES,,,,,,,,,
1162497667752026114,"@USER of course , im sayin that nigga leg dont hurt at all ? lol",@USER,nigga,YES,,,,,,,,,,,,,,,,,,
1187617056012636161,@USER Typical of the age publishing rubbish than trying to promote their fake Bullshit and start a fire somewhere,@USER,rubbish,YES,@USER,fake bullshit,YES,@USER,start a fire somewhere,YES,,,,,,,,,,,,
1186551996901445632,@USER @USER Never heard one racist comment yet Who has been racist? Besides the British put up and shut up,NULL,racist comment,YES,NULL,racist?,YES,NULL,Besides the British,YES,NULL,shut up,YES,,,,,,,,,
1156646143624957952,hang em high by mcr played right after radio/video by system of a down and I felt go crazy go stupid in its truest form,NULL,NULL,NO,,,,,,,,,,,,,,,,,,
1158644327213608960,Stupid Thing Is That They Are Still Fighting With Each Other .. How These People Give A Strong Message About Kashmir .. #ParlimentJoint,NULL,stupid thing,YES,NULL,fighting with each other,YES,,,,,,,,,,,,,,,
1186082830482231296,I just want to sleep is this how ppl feel when they get off drugs bc this sucks so bad 😫,this,sucks so bad,NO,,,,,,,,,,,,,,,,,,
1186685073195593728,@USER @USER Never seen them run out of stock. Maybe I've been eating some expired shit. Still great tho.,NULL,expired shit,YES,,,,,,,,,,,,,,,,,,
1160182239726120961,Nicki Minaj really have the worst fans. Them mfs krazy.,fans,mfs,YES,mfs,krazy,YES,,,,,,,,,,,,,,,
1187136116295700480,On some rs My friends let me practice on them 24/7 doing lashes. They probably won’t ever pay to get they shit done🤷🏽‍♀️. I go,Friends,shit done,YES,,,,,,,,,,,,,,,,,,
1161871504092606464,@USER Why you lien on the niggas 🤦🏽‍♀️ ON HOV BRIANA HAD TO DELETE THE SHIT OFF TWITTER YOU TOLD THE WHOLE VALLEY NOT MY WH,niggas,niggas,YES,BRIANA,SHIT,YES,,,,,,,,,,,,,,,
1160088505478893568,@USER They need to be behind bars but sighs @USER ain’t doing shit 🤦🏻‍♀️🤦🏻�,@USER,need to be behind bars,YES,@USER,ain't doing shit,YES,,,,,,,,,,,,,,,
1186506081935204353,@USER If these people aren't held responsible I'm not voting for Trump again in 2020. These people are sick.,These people,sick,YES,,,,,,,,,,,,,,,,,,
1159628402334281728,@USER @USER I think it racist white guys kill people with brown skin,racist white guys,racist white guys,YES,racist white guys,kill people,YES,,,,,,,,,,,,,,,
1187673570257842177,Fuck it I’m staying up lmao Abella Danger and August Ames have some of the hottest scenes om,Abella Danger,omfg,NO,August Ames,omfg,NO,,,,,,,,,,,,,,,
1162179517290635264,@USER All these people screaming disgusting. I'm over here like...how does your junk area get that disgusting in one day? �,these people,screaming disgusting,YES,the people,disgusting,YES,,,,,,,,,,,,,,,
1186658138927390720,@USER Time to stop the voter fraud. These people are evil.,NULL,voter fraud,YES,these people,are evil,YES,,,,,,,,,,,,,,,
1159364853921964032,Rat is not a pet animal. Matter of fact any rodent doesn't belong inside the house. White people and some black people are crazy.,White people,are crazy,YES,black people,are crazy,YES,,,,,,,,,,,,,,,
1160324095193616386,@USER white children who think they’re superior and have no respect are the worst,white children,think they're superior,YES,white children,have no respect,YES,white children,are the worst,YES,,,,,,,,,,,,
1186994281703194624,"Honestly the only music fans more cringey than 80’s rock lovers are die hard 90’s rap fans. No one give a fuck about your opinion, old h",music fans,cringey,YES,90's rap fans,no one gives a fuck,YES,90's rap fans,old head,YES,,,,,,,,,,,,
1161803002279153670,Can we wait like 3 months before we start using abbreviations for shows idk what the fuck yall be talking about,NULL,the fuck,YES,,,,,,,,,,,,,,,,,,
1162268560686604291,"@USER @USER Oh, that's all nonsense. Media either stupid or not understanding how scenario modelling works.",@USER,all nonsense,YES,Media,stupid,YES,Media,not understanding,YES,,,,,,,,,,,,
1157833580065636353,"Talkin abt ""I hate arguing"" nigga you the fckn reason why we argue fckn dummeh",nigga,nigga,YES,nigga,you fckn reason,YES,nigga,fuckn dummeh,YES,,,,,,,,,,,,
1162214539003170822,me and @USER really out here freaking out over how @USER popped the fuck off like they went so hard on oxygen,@USER,popped the fuck off,YES,,,,,,,,,,,,,,,,,,
1188276459670065152,Lot of white artist twitter be feeling so entitled your shit is unseasoned food in visual art form.,white artist,entitled,YES,white artist,your shit is unseasoned food,YES,,,,,,,,,,,,,,,
1160723610841034752,@USER Yup full of Liberal Crap and has lost any sense of direction,NULL,Liberal Crap,YES,NULL,lost sense of direction,NO,,,,,,,,,,,,,,,
1188095077383585792,I HAVE TO WAIT UNTIL JANUARY 31ST FOR THE REST OF BOJACK SEASON 6 IM GONNA SUE HOW DARE THEY DO THAT FUCKING CLIFFHANGER,NULL,HOW DARE THEY,NO,NULL,FUCKING,NO,,,,,,,,,,,,,,,
1188272390964465665,"@USER And that's why you'll never get verified, its YOUR own hell",@USER,YOUR own hell,YES,,,,,,,,,,,,,,,,,,
1187119905050632192,@USER lady men and men ladies sounds dumb and they know it so they cancel the whole statement �,NULL,sounds dumb,YES,,,,,,,,,,,,,,,,,,
1158743638907772929,"So many old white men are past their expiration date, but they're sticking around like spoiled milk stinking up the place.",old white men,expiration date,YES,old white men,spoiled milk ,YES,old white men,stinking,YES,,,,,,,,,,,,
1160739092612689922,@USER Oh damn that sucks. They hide metal in so many different things.,@USER,that sucks,NO,,,,,,,,,,,,,,,,,,
1161521451842883584,@USER Because... he repeats his lies and his propaganda and people are sick of it,he,lies,YES,his,propaganda,YES,people,sick of it,YES,,,,,,,,,,,,
1162358324882530307,"People only do what’s convenient for them 🤦🏽‍♀️ never expect shit from people, not even ",People,never expect shit,YES,,,,,,,,,,,,,,,,,,
1161320397360570369,@USER #GH No. Stop recasting and just kill them!,NULL,kill them,NO,,,,,,,,,,,,,,,,,,
1159650058570067968,i want a boy bestfriend but all these niggas wanna do is rise they body counts 🙄Having a boy bestfriend so dope cause he give me the rawest advice &amp; give me that nigga perspecti,niggas,niggas,YES,niggas,body count,YES,nigga,nigga perspective,YES,,,,,,,,,,,,
1160065191695904768,"this is dark humor, not the racist comments that white boys make to say they were jk lolI Saw A White Boy In Walmart Looking Mad As Fuck So I Left 😭😭 Not Ton",white boys,racist comments,YES,White Boy,Mad As Fuck,YES,,,,,,,,,,,,,,,
1161668848157888512,Some of y’all niggas only balling because your kids aren’t in your bu,niggas,niggas,YES,,,,,,,,,,,,,,,,,,
1188649766869176320,Some of y’all gals so tingzy I pray the David yurman y’all beg that nigga for turn y’all neck green cuz i,gals,tingzy,YES,nigga,nigga,YES,y'all,neck green cuz it fake,YES,,,,,,,,,,,,
1156372309902602242,when your Brexit supporting parents finally stop drinking the Kool-Aid and are actually starting to get scared. Get tae fuck. nae sympathy,Brexit supporting parents,drinling the Kool-Aid,YES,NULL,tae fuck,YES,NULL,nae sympathy,YES,,,,,,,,,,,,
1185983441806004224,"bc music is a bunch of musicians gassin each other up for no reasonThis shit is absolutely mind boggling strangers are showing me more love then some ""friends"" I've been cool with for close to a decade 🤧�",musicians,gassin each other up,YES,NULL,this shit,YES,,,,,,,,,,,,,,,
1161441040907288577,"Unpopular opinion: Allison green from the millionaires was 10,000x prettier pre all the fucking work she had done",Allision green,fucking work,YES,,,,,,,,,,,,,,,,,,
1161411816406310913,I hate when I be seeing people stay at fire ass resorts but they never drop the places’ na,resorts,fire ass,NO,,,,,,,,,,,,,,,,,,
1185305282303483906,"Why do guys love talking bout what they’ll “do” to another guy but as soon as they come round, they shut the he",guys,shut the hell up,YES,,,,,,,,,,,,,,,,,,
1186304931222970373,"With democracy and human rights getting kicked in the ass all over the world, remember how lucky we are. #VOTE",NULL,kicked in the ass,NO,,,,,,,,,,,,,,,,,,
830882419548884992,I hate girls who try and make you look dumb so they can make themselves look better in front of a boy,girls,I hate,YES,girls,make you look dumb,YES,,,,,,,,,,,,,,,
1156149255637127168,@USER @USER @USER People are also acting like that Porto team was dog shit lol. That team had so many ballers,that Porto team,dog shit,YES,,,,,,,,,,,,,,,,,,
1155312302201147393,U are all annoying and boring with ur dislike of big noses pls shut up,U are all,annoying,YES,U are all,boring,YES,U are all,shut up,YES,,,,,,,,,,,,
1161936423148298240,@USER El men go to inglish reeeeee cheto the fat celu,cheto,the fat celu,YES,,,,,,,,,,,,,,,,,,
1155985196551819264,Niggas try to act like we friends so I help em grow &amp;then cut a nigga out the picture this my Selfie Tho!,Niggas,Niggas,YES,nigga,nigga,YES,,,,,,,,,,,,,,,
1160352896808038400,"I know wwe are all about being PG ut ""Head Baddie In Charge"" sounds crap, we all know it's Bitch not Baddie we aren't 5",NULL,sounds crap,YES,NULL,it's Bitch,NO,NULL,we aren't 5,YES,,,,,,,,,,,,
1160351869849526272,@USER preteen boys and old men are the worst for gross comments,preteen boys,gross comments,YES,old men,gross comments,YES,,,,,,,,,,,,,,,
1155553213287940098,@USER @USER Every conservative is a racist. But those who blame everything wrong on “white men” aren’t. ,Every conservative,racist,YES,those who,"blame everything wrong on ""white men""",YES,,,,,,,,,,,,,,,
1186124880623878144,Parents who control their children's spiritual and religious beliefs are trash,Parents,are trash,YES,,,,,,,,,,,,,,,,,,
1159224936092880896,"@USER Your group of hate, your voters, your base. Trash Republicans",group of hate,hate,YES,Trash Republicnas,Trash,YES,,,,,,,,,,,,,,,
1156517034634539009,@USER Preach! Those people who glorify polygamy are the worst,Those people,the worst,YES,,,,,,,,,,,,,,,,,,
1186363328182009859,Have a quick look at this and then tell the country that all you Labour turncoats are a bunch of corrupt liars #brexit,Labour turncoats,corrupt liars,YES,,,,,,,,,,,,,,,,,,
1187053721609523205,bishes really be moved by any nigga with some jewelry &amp; designer clothes .. sis they be bums .. �,bishes,bishes,YES,nigga,nigga,YES,nigga,bums .. �,YES,,,,,,,,,,,,
1187783188178976768,@4Day_Week @USER @USER Oh really? And who the hell is going to pay for all this bullshit? Wake up and smell the coffee.,@USER,bullshit,YES,@USER,Wake up and smell the coffee,YES,,,,,,,,,,,,,,,
1187395043025477633,"@USER Miss you lots ma'am, throw on some black clothes and tell someone that legally speaking, they ain't shit. Happy belated",@USER,ain't shit,YES,,,,,,,,,,,,,,,,,,
1187555450201530369,@USER Omg i Hate Snakes To They Are The Worst Thing Ever!,NULL,Hate,NO,Snakes,Worst Thing Ever,NO,,,,,,,,,,,,,,,
1161106569435799552,Men with low self-esteem will endure taking bullshit behavior from women because they don't believe they deserve better or can replace her.,Men,endure taking bullshit,YES,,,,,,,,,,,,,,,,,,
1159581195790766080,@USER These people really think they are above the law. #Delusional,These people,#Delusional,YES,,,,,,,,,,,,,,,,,,
1159955927794978817,@USER @USER @USER @USER Nothing like getting info from the head black racist. You clowns will hire anyone. 🤣�,NULL,head black racist,YES,You clowns,clowns,YES,,,,,,,,,,,,,,,
1160873712364609536,@USER Pieces of garbage indeed... this is trash... hunting down innocent animals is deplorable.,NULL,pieces of garbage,YES,NULL,is trash,YES,NULL,deplorable,YES,,,,,,,,,,,,
